labeled_state,poly_state,count
DC,MD,239
NJ,NY,222
MD,DC,94
WA,OR,65
SC,NC,54
PA,NJ,52
NY,CT,52
IL,WI,39
TN,AR,35
GA,TN,32
TN,MS,31
SC,GA,28
NY,NJ,27
TN,GA,26
KY,IN,25
NC,SC,25
CA,OR,21
MO,KS,21
IL,IN,21
CA,NV,19
OR,CA,19
IN,OH,19
DC,VA,18
OR,WA,16
PA,DE,16
VA,WV,15
PA,MD,15
TN,NC,13
KS,MO,13
NJ,PA,13
VA,NC,12
MD,PA,12
VA,DC,12
MN,WI,11
WV,VA,11
IL,IA,10
NY,PA,9
PA,WV,8
NE,IA,7
GA,SC,7
GA,FL,7
CA,AZ,6
IA,MN,6
LA,TX,6
MN,IA,6
IA,IL,6
UT,WY,5
MT,ID,5
NE,CO,5
MO,IA,5
AZ,CA,5
MS,AL,5
AL,TN,5
AL,FL,5
IN,MI,5
MD,DE,5
MA,NH,5
WV,MD,5
OR,ID,4
IA,NE,4
AZ,NM,4
NM,TX,4
NC,GA,4
WI,MN,4
OH,IN,4
NH,MA,4
MA,RI,4
UT,NV,3
MS,TN,3
IN,IL,3
IL,MO,3
NC,VA,3
VA,TN,3
VA,MD,3
CT,NY,3
CT,RI,3
OH,WV,3
RI,CT,3
NV,CA,2
WY,UT,2
ID,MT,2
WY,ID,2
NV,UT,2
WY,CO,2
NE,KS,2
ND,MN,2
AR,OK,2
TN,AL,2
GA,AL,2
AR,MS,2
AR,LA,2
AR,TX,2
OH,MI,2
TN,VA,2
KY,TN,2
PA,OH,2
OH,PA,2
ID,OR,1
UT,AZ,1
WA,ID,1
ID,NV,1
NM,CO,1
AZ,UT,1
NV,ID,1
AL,MS,1
TX,AR,1
MS,LA,1
WI,IA,1
MI,IN,1
KY,OH,1
IA,MO,1
WI,IL,1
OK,MO,1
DE,MD,1
MD,WV,1
MA,CT,1
WV,OH,1
NY,VT,1
